bus	device	latitude	longitude	updated
2	arduino	22.360779		2018-05-20T14:44:54.659Z
2	arduino	22.360769		2018-05-20T14:44:59.200Z
2	arduino	22.360765		2018-05-20T14:45:01.380Z
2	arduino	22.360771		2018-05-20T14:45:05.699Z
2	arduino	22.360771		2018-05-20T14:45:09.696Z
2	arduino	22.360785		2018-05-20T14:45:15.035Z
2	arduino	22.360804		2018-05-20T14:45:19.518Z
2	arduino	22.360809		2018-05-20T14:45:24.878Z
2	arduino	22.36079		2018-05-20T14:45:29.577Z
2	arduino	22.360794		2018-05-20T14:45:34.457Z
2	arduino	22.3608		2018-05-20T14:45:40.177Z
2	arduino	22.360806		2018-05-20T14:45:44.877Z
2	arduino	22.360807		2018-05-20T14:45:49.839Z
2	arduino	22.360807		2018-05-20T14:45:54.677Z
2	arduino	22.360804		2018-05-20T14:45:59.738Z
2	arduino	22.360798		2018-05-20T14:46:04.878Z
2	arduino	22.3608		2018-05-20T14:46:09.520Z
2	arduino	22.360807		2018-05-20T14:46:14.721Z
2	arduino	22.360815		2018-05-20T14:46:19.501Z
2	arduino	22.360838		2018-05-20T14:46:24.883Z
2	arduino	22.360828		2018-05-20T14:46:29.522Z
2	arduino	22.360821		2018-05-20T14:46:34.763Z
2	arduino	22.360811		2018-05-20T14:46:40.062Z
2	arduino	22.360809		2018-05-20T14:46:44.602Z
2	arduino	22.360796		2018-05-20T14:46:49.703Z
2	arduino	22.360781		2018-05-20T14:46:54.600Z
2	arduino	22.360775		2018-05-20T14:47:00.042Z
2	arduino	22.360781		2018-05-20T14:47:04.562Z
2	arduino	22.360786		2018-05-20T14:47:09.582Z
2	arduino	22.360792		2018-05-20T14:47:14.681Z
2	arduino	22.360796		2018-05-20T14:47:19.704Z
2	arduino	22.360809		2018-05-20T14:47:25.545Z
2	arduino	22.360817		2018-05-20T14:47:29.684Z
2	arduino	22.360817		2018-05-20T14:47:35.405Z
2	arduino	22.360821		2018-05-20T14:47:39.623Z
2	arduino	22.360819		2018-05-20T14:47:45.384Z
2	arduino	22.360819		2018-05-20T14:47:50.325Z
2	arduino	22.360826		2018-05-20T14:47:54.924Z
