"_id"	busId	isGo2Work	plannedArrivalTime	routeNumber	seqNumber	stopId	updated
5ae83c3b3023169da447c2b2	5ae8393c3023169da447c2ae	true	7:26	1	2	5ae8334c748fb2a67c5f6e55	2018-05-01T10:06:51.296Z
5ae840a33023169da447c2c3	5ae839d23023169da447c2b0	true	7:40	3	6	5ae8370a567e17937cf407ef	2018-05-01T10:25:39.919Z
5ae840bc3023169da447c2c4	5ae839d23023169da447c2b0	true	8:05	3	7	5ae83726567e17937cf407f0	2018-05-01T10:26:04.135Z
5af856c5ac5680781c7bb90d	5ae8393c3023169da447c2ae	true	8:30	1	7	5af85642ac5680781c7bb90c	2018-05-13T15:16:21.758Z
5af856e0ac5680781c7bb90e	5ae8399c3023169da447c2af	true	8:30	2	7	5af85642ac5680781c7bb90c	2018-05-13T15:16:48.183Z
5af856f6ac5680781c7bb90f	5ae839d23023169da447c2b0	true	8:30	3	8	5af85642ac5680781c7bb90c	2018-05-13T15:17:10.617Z
5af858eaac5680781c7bb91b	5af7e7f7a649e671d91ee6d4	true	7:16	4	1	5af85782ac5680781c7bb910	2018-05-13T15:25:30.674Z
5af85900ac5680781c7bb91c	5af7e7f7a649e671d91ee6d4	true	7:17	4	2	5af857acac5680781c7bb911	2018-05-13T15:25:52.073Z
5af85929ac5680781c7bb91d	5af7e7f7a649e671d91ee6d4	true	7:18	4	3	5af857c2ac5680781c7bb912	2018-05-13T15:26:33.387Z
5af85940ac5680781c7bb91e	5af7e7f7a649e671d91ee6d4	true	7:22	4	4	5af857e0ac5680781c7bb913	2018-05-13T15:26:56.078Z
5af85953ac5680781c7bb91f	5af7e7f7a649e671d91ee6d4	true	7:28	4	5	5af85800ac5680781c7bb914	2018-05-13T15:27:15.460Z
5af85965ac5680781c7bb920	5af7e7f7a649e671d91ee6d4	true	7:30	4	6	5af8581aac5680781c7bb915	2018-05-13T15:27:33.349Z
5af85994ac5680781c7bb921	5af7e7f7a649e671d91ee6d4	true	7:34	4	7	5af8582fac5680781c7bb916	2018-05-13T15:28:20.145Z
5af859a6ac5680781c7bb922	5af7e7f7a649e671d91ee6d4	true	7:44	4	8	5af8584bac5680781c7bb917	2018-05-13T15:28:38.595Z
5af859b9ac5680781c7bb923	5af7e7f7a649e671d91ee6d4	true	7:46	4	9	5af85860ac5680781c7bb918	2018-05-13T15:28:57.063Z
5af859d8ac5680781c7bb924	5af7e7f7a649e671d91ee6d4	true	7:48	4	10	5af85875ac5680781c7bb919	2018-05-13T15:29:28.628Z
5af859e8ac5680781c7bb925	5af7e7f7a649e671d91ee6d4	true	7:50	4	11	5af8588aac5680781c7bb91a	2018-05-13T15:29:44.627Z
5af85a29ac5680781c7bb926	5af7e7f7a649e671d91ee6d4	true	8:30	4	12	5af85642ac5680781c7bb90c	2018-05-13T15:30:49.919Z
5af85b3eac5680781c7bb92e	5af84f25ac5680781c7bb903	true	7:28	5	1	5af85a75ac5680781c7bb927	2018-05-13T15:35:26.264Z
5af85b52ac5680781c7bb92f	5af84f25ac5680781c7bb903	true	7:29	5	2	5af85a8bac5680781c7bb928	2018-05-13T15:35:46.723Z
5af85b70ac5680781c7bb930	5af84f25ac5680781c7bb903	true	7:31	5	3	5af85a9fac5680781c7bb929	2018-05-13T15:36:16.204Z
5af85b84ac5680781c7bb931	5af84f25ac5680781c7bb903	true	7:32	5	4	5af85ab7ac5680781c7bb92a	2018-05-13T15:36:36.496Z
5af85b9dac5680781c7bb932	5af84f25ac5680781c7bb903	true	7:34	5	5	5af85ad5ac5680781c7bb92b	2018-05-13T15:37:01.081Z
5af85bb7ac5680781c7bb933	5af84f25ac5680781c7bb903	true	7:39	5	6	5af85aeaac5680781c7bb92c	2018-05-13T15:37:27.854Z
5af85bdbac5680781c7bb934	5af84f25ac5680781c7bb903	true	7:50	5	7	5af85b04ac5680781c7bb92d	2018-05-13T15:38:03.434Z
5af85c21ac5680781c7bb936	5af84f25ac5680781c7bb903	true	7:51	5	8	5af85c05ac5680781c7bb935	2018-05-13T15:39:13.703Z
5af85c37ac5680781c7bb937	5af84f25ac5680781c7bb903	true	8:30	5	9	5af85642ac5680781c7bb90c	2018-05-13T15:39:35.494Z
5af9858dac5680781c7bb93d	5af84fafac5680781c7bb904	true	7:22	6	1	5af984f3ac5680781c7bb938	2018-05-14T12:48:13.110Z
5af985a3ac5680781c7bb93e	5af84fafac5680781c7bb904	true	7:58	6	2	5af9850bac5680781c7bb939	2018-05-14T12:48:35.437Z
5af985baac5680781c7bb93f	5af84fafac5680781c7bb904	true	8:01	6	3	5af98520ac5680781c7bb93a	2018-05-14T12:48:58.264Z
