"_id"	actualArrivalDate	actualStatus	actualStopId	busId	eta	isGo2Work	updated
5b0581f053296f000f447d18	2018-05-23T15:00:00.563Z	0	5af98a2eac5680781c7bb954	5af8502dac5680781c7bb906	1	true	2018-05-23T15:00:00.563Z
5b0581f053296f000f447d12	2018-05-23T15:00:00.561Z	0	5afc3d252801f3052630fe04	5af7e7f7a649e671d91ee6d4	1	false	2018-05-23T15:00:00.561Z
5b0581f053296f000f447d16	2018-05-23T15:00:00.563Z	0	5ae83659567e17937cf407ea	5ae839d23023169da447c2b0	1	true	2018-05-23T15:00:00.563Z
5b0581f053296f000f447d1a	2018-05-23T15:00:00.564Z	0	5af995a1ac5680781c7bb993	5af8517aac5680781c7bb90b	1	true	2018-05-23T15:00:00.564Z
5b0581f053296f000f447d22	2018-05-23T15:00:00.565Z	0	5af98baeac5680781c7bb963	5af8507aac5680781c7bb907	1	true	2018-05-23T15:00:00.565Z
5b0581f053296f000f447d1c	2018-05-23T15:00:00.564Z	0	5afc3d252801f3052630fe04	5af84f25ac5680781c7bb903	1	false	2018-05-23T15:00:00.564Z
5b0581f053296f000f447d1e	2018-05-23T15:00:00.564Z	0	5afc3d252801f3052630fe04	5af850baac5680781c7bb908	1	false	2018-05-23T15:00:00.564Z
5b0581f053296f000f447d20	2018-05-23T15:00:00.565Z	0	5af85782ac5680781c7bb910	5af7e7f7a649e671d91ee6d4	1	true	2018-05-23T15:00:00.565Z
5b0581f053296f000f447d24	2018-05-23T15:00:00.565Z	0	5afc341c2801f3052630fdb0	5ae8393c3023169da447c2ae	1	false	2018-05-23T15:00:00.565Z
5b0581f053296f000f447d2c	2018-05-23T15:00:00.566Z	0	5af98cddac5680781c7bb970	5af850baac5680781c7bb908	1	true	2018-05-23T15:00:00.566Z
5b0581f053296f000f447d26	2018-05-23T15:00:00.565Z	0	5afc3d252801f3052630fe04	5af84fafac5680781c7bb904	1	false	2018-05-23T15:00:00.565Z
5b0581f053296f000f447d28	2018-05-23T15:00:00.566Z	0	5afc3d252801f3052630fe04	5af850ddac5680781c7bb909	1	false	2018-05-23T15:00:00.566Z
5b0581f053296f000f447d2a	2018-05-23T15:00:00.566Z	0	5af85a75ac5680781c7bb927	5af84f25ac5680781c7bb903	1	true	2018-05-23T15:00:00.566Z
5b0581f053296f000f447d2e	2018-05-23T15:00:00.567Z	0	5afc3d252801f3052630fe04	5ae8399c3023169da447c2af	1	false	2018-05-23T15:00:00.567Z
5b0581f053296f000f447d36	2018-05-23T15:00:00.583Z	0	5afc3d252801f3052630fe04	5af8517aac5680781c7bb90b	1	false	2018-05-23T15:00:00.584Z
5b0581f053296f000f447d30	2018-05-23T15:00:00.567Z	0	5afc3d252801f3052630fe04	5af84fe6ac5680781c7bb905	1	false	2018-05-23T15:00:00.567Z
5b0581f053296f000f447d32	2018-05-23T15:00:00.568Z	0	5afc3d252801f3052630fe04	5af85145ac5680781c7bb90a	1	false	2018-05-23T15:00:00.568Z
5b0581f053296f000f447d34	2018-05-23T15:00:00.583Z	0	5afc3d252801f3052630fe04	5af8502dac5680781c7bb906	1	false	2018-05-23T15:00:00.583Z
5b05f7a73166f717305eaa31	2018-05-23T23:22:15.753Z	1	5ae83320748fb2a67c5f6e54	5ae8393c3023169da447c2ae	13	true	2018-05-23T23:22:15.753Z
5b05f7f83166f717305eaa37	2018-05-23T23:23:36.581Z	2	5ae83320748fb2a67c5f6e54	5ae8393c3023169da447c2ae	13	true	2018-05-23T23:23:36.581Z
5b05f7f83166f717305eaa38		0	5ae8334c748fb2a67c5f6e55	5ae8393c3023169da447c2ae	13	true	2018-05-23T23:23:36.582Z
5b05f8393166f717305eaa3d	2018-05-23T23:24:41.313Z	1	5ae8334c748fb2a67c5f6e55	5ae8393c3023169da447c2ae	13	true	2018-05-23T23:24:41.313Z
5b05f8493166f717305eaa3f	2018-05-23T23:24:57.548Z	2	5ae8334c748fb2a67c5f6e55	5ae8393c3023169da447c2ae	13	true	2018-05-23T23:24:57.548Z
5b05f8493166f717305eaa40		0	5ae8336c748fb2a67c5f6e56	5ae8393c3023169da447c2ae	13	true	2018-05-23T23:24:57.550Z
5b05fb4c3166f717305eaa73	2018-05-23T23:37:48.833Z	1	5ae8336c748fb2a67c5f6e56	5ae8393c3023169da447c2ae	13	true	2018-05-23T23:37:48.833Z
5b05fbd23166f717305eaa7c	2018-05-23T23:40:02.622Z	2	5ae8336c748fb2a67c5f6e56	5ae8393c3023169da447c2ae	13	true	2018-05-23T23:40:02.622Z
5b05fbd23166f717305eaa7d		0	5ae834df567e17937cf407e1	5ae8393c3023169da447c2ae	13	true	2018-05-23T23:40:02.624Z
