routeNumber,isGo2Work,last_stop_name,next_stop_name,seqNumber,next_stop_seq,last_stop_latitude,last_stop_longitude,next_stop_latitude,next_stop_longitude,plannedArrivalTime,segment
6,False,裕华公司,唐家市场,2,3,22.3650076166,113.6006161186,22.358299553600002,113.59916891030001,18:00,裕华公司-唐家市场
6,False,唐家市场,唐家,3,4,22.358299553600002,113.59916891030001,22.3548939043,113.59732737700001,18:00,唐家市场-唐家
6,False,唐家,银坑,4,5,22.3548939043,113.59732737700001,22.317688430100002,113.6035377453,18:00,唐家-银坑
6,False,银坑,南屏站(南湾大道),5,6,22.317688430100002,113.6035377453,22.2205239803,113.5097035383,18:00,银坑-南屏站(南湾大道)
6,False,南屏站(南湾大道),竹仙洞,6,7,22.2205239803,113.5097035383,22.211033121,113.52034972450001,18:00,南屏站(南湾大道)-竹仙洞
6,True,南屏站(南湾大道),美丽湾,1,2,22.2206406819,113.50980278,22.308815621100003,113.5842945924,7:58,南屏站(南湾大道)-美丽湾
6,True,美丽湾,银坑,2,3,22.308815621100003,113.5842945924,22.318790119099997,113.60421902639999,8:01,美丽湾-银坑
6,True,银坑,裕华公司,3,4,22.318790119099997,113.60421902639999,22.3654590577,113.5999723885,8:13,银坑-裕华公司
6,True,裕华公司,海怡湾畔,4,5,22.3654590577,113.5999723885,22.3688316665,113.5909979705,8:14,裕华公司-海怡湾畔
6,True,海怡湾畔,南方软件园,5,6,22.3688316665,113.5909979705,22.372630798200003,113.5759242192,8:30,海怡湾畔-南方软件园
7,False,南方软件园,唐家市场,1,2,22.372630798200003,113.5759242192,22.358299553600002,113.59916891030001,18:00,南方软件园-唐家市场
7,False,唐家市场,唐家,2,3,22.358299553600002,113.59916891030001,22.3548939043,113.59732737700001,18:00,唐家市场-唐家
7,False,唐家,中大南门,3,4,22.3548939043,113.59732737700001,22.341048369499998,113.589825624,18:00,唐家-中大南门
7,True,港昌南,粤华西,1,2,22.2174615179,113.5400166119,22.220500761599997,113.54232867610001,7:25,港昌南-粤华西
7,True,粤华西,华侨宾馆,2,3,22.220500761599997,113.54232867610001,22.230832541599998,113.5519298765,7:32,粤华西-华侨宾馆
