|latitude|longitude|routeNumber|updated|plannedArrivalTime|device|segment|ATE
84|22.274527|113.552925|1|2018-05-21 23:53:59.063|7:40|0|2|2018-05-21 23:55:23.612
85|22.274513|113.553001|1|2018-05-21 23:54:13.123|7:40|0|2|2018-05-21 23:55:23.612
86|22.274532|113.552925|1|2018-05-21 23:54:27.285|7:40|0|2|2018-05-21 23:55:23.612
87|22.274517000000003|113.553001|1|2018-05-21 23:54:41.423|7:40|0|2|2018-05-21 23:55:23.612
88|22.274864|113.553253|1|2018-05-21 23:54:55.465|7:40|0|2|2018-05-21 23:55:23.612
89|22.276318|113.553001|1|2018-05-21 23:55:09.610|7:40|0|2|2018-05-21 23:55:23.612
90|22.277843|113.552826|1|2018-05-21 23:55:37.811|8:30|0|1|2018-05-21 23:55:37.811
91|22.25169|113.51556399999998|1|2018-05-22 23:21:39.127|7:26|0|3|2018-05-22 23:24:25.975
92|22.251966|113.51556399999998|1|2018-05-22 23:21:55.995|7:26|0|3|2018-05-22 23:24:25.975
93|22.252066|113.515518|1|2018-05-22 23:22:12.112|7:26|0|3|2018-05-22 23:24:25.975
94|22.252094|113.515518|1|2018-05-22 23:22:28.653|7:26|0|3|2018-05-22 23:24:25.975
95|22.252098|113.515518|1|2018-05-22 23:22:45.367|7:26|0|3|2018-05-22 23:24:25.975
96|22.252146|113.51550300000001|1|2018-05-22 23:23:01.546|7:26|0|3|2018-05-22 23:24:25.975
97|22.25226|113.515442|1|2018-05-22 23:23:17.689|7:26|0|3|2018-05-22 23:24:25.975
98|22.253717|113.515266|1|2018-05-22 23:23:33.889|7:26|0|3|2018-05-22 23:24:25.975
99|22.255385999999998|113.515045|1|2018-05-22 23:23:50.152|7:26|0|3|2018-05-22 23:24:25.975
100|22.255932|113.515083|1|2018-05-22 23:24:07.672|7:26|0|3|2018-05-22 23:24:25.975
101|22.258728|113.514633|1|2018-05-22 23:24:48.037|7:34|0|4|2018-05-22 23:28:18.240
102|22.259079|113.51473999999999|1|2018-05-22 23:25:04.757|7:34|0|4|2018-05-22 23:28:18.240
103|22.259064000000002|113.514801|1|2018-05-22 23:25:20.996|7:34|0|4|2018-05-22 23:28:18.240
104|22.259377999999998|113.51473999999999|1|2018-05-22 23:25:37.015|7:34|0|4|2018-05-22 23:28:18.240
105|22.259411|113.51475500000001|1|2018-05-22 23:25:53.237|7:34|0|4|2018-05-22 23:28:18.240
106|22.25946|113.51469399999999|1|2018-05-22 23:26:10.014|7:34|0|4|2018-05-22 23:28:18.240
107|22.259929999999997|113.514549|1|2018-05-22 23:26:26.232|7:34|0|4|2018-05-22 23:28:18.240
108|22.261208|113.51451100000001|1|2018-05-22 23:26:40.173|7:34|0|4|2018-05-22 23:28:18.240
109|22.262529|113.514366|1|2018-05-22 23:26:54.319|7:34|0|4|2018-05-22 23:28:18.240
110|22.263737|113.514198|1|2018-05-22 23:27:10.344|7:34|0|4|2018-05-22 23:28:18.240
111|22.265144|113.51416|1|2018-05-22 23:27:26.463|7:34|0|4|2018-05-22 23:28:18.240
112|22.266685|113.513947|1|2018-05-22 23:27:43.200|7:34|0|4|2018-05-22 23:28:18.240
113|22.267536|113.51380900000001|1|2018-05-22 23:28:01.263|7:34|0|4|2018-05-22 23:28:18.240
114|22.268194|113.51518999999999|1|2018-05-22 23:28:35.414|7:37|0|0|2018-05-22 23:30:22.422
115|22.268435999999998|113.517105|1|2018-05-22 23:28:53.606|7:37|0|0|2018-05-22 23:30:22.422
116|22.268623|113.51804399999999|1|2018-05-22 23:30:06.192|7:37|0|0|2018-05-22 23:30:22.422
117|22.26882|113.519623|1|2018-05-22 23:30:38.552|7:38|0|5|2018-05-22 23:33:23.425
118|22.268776000000003|113.519646|1|2018-05-22 23:30:54.833|7:38|0|5|2018-05-22 23:33:23.425
119|22.268724|113.519577|1|2018-05-22 23:32:15.818|7:38|0|5|2018-05-22 23:33:23.425
120|22.268734|113.519577|1|2018-05-22 23:32:31.837|7:38|0|5|2018-05-22 23:33:23.425
121|22.268887|113.52006499999999|1|2018-05-22 23:32:48.016|7:38|0|5|2018-05-22 23:33:23.425
122|22.269199|113.52168300000001|1|2018-05-22 23:33:05.403|7:38|0|5|2018-05-22 23:33:23.425
123|22.269514|113.523895|1|2018-05-22 23:33:39.409|7:40|0|2|2018-05-22 23:49:29.044
124|22.269554|113.52416200000002|1|2018-05-22 23:33:55.688|7:40|0|2|2018-05-22 23:49:29.044
125|22.269645999999998|113.524551|1|2018-05-22 23:34:12.427|7:40|0|2|2018-05-22 23:49:29.044
126|22.269657000000002|113.52467299999999|1|2018-05-22 23:34:29.350|7:40|0|2|2018-05-22 23:49:29.044
127|22.26967|113.524681|1|2018-05-22 23:34:45.446|7:40|0|2|2018-05-22 23:49:29.044
128|22.269705|113.52483400000001|1|2018-05-22 23:35:01.529|7:40|0|2|2018-05-22 23:49:29.044
129|22.269896|113.526016|1|2018-05-22 23:35:17.886|7:40|0|2|2018-05-22 23:49:29.044
130|22.270069|113.52696999999999|1|2018-05-22 23:35:34.570|7:40|0|2|2018-05-22 23:49:29.044
131|22.270067|113.526978|1|2018-05-22 23:35:50.593|7:40|0|2|2018-05-22 23:49:29.044
132|22.270065|113.52696999999999|1|2018-05-22 23:36:06.624|7:40|0|2|2018-05-22 23:49:29.044
133|22.270052|113.52700800000001|1|2018-05-22 23:36:22.784|7:40|0|2|2018-05-22 23:49:29.044
134|22.270054000000002|113.52700800000001|1|2018-05-22 23:36:38.751|7:40|0|2|2018-05-22 23:49:29.044
135|22.270134|113.527649|1|2018-05-22 23:36:54.853|7:40|0|2|2018-05-22 23:49:29.044
136|22.270329999999998|113.52885400000001|1|2018-05-22 23:37:10.890|7:40|0|2|2018-05-22 23:49:29.044
137|22.2705|113.52988400000001|1|2018-05-22 23:37:26.991|7:40|0|2|2018-05-22 23:49:29.044
138|22.270605|113.530548|1|2018-05-22 23:37:43.071|7:40|0|2|2018-05-22 23:49:29.044
139|22.270638|113.53078500000001|1|2018-05-22 23:37:59.171|7:40|0|2|2018-05-22 23:49:29.044
140|22.27066|113.530869|1|2018-05-22 23:38:15.190|7:40|0|2|2018-05-22 23:49:29.044
141|22.270725|113.53133400000002|1|2018-05-22 23:38:31.254|7:40|0|2|2018-05-22 23:49:29.044
142|22.270820999999998|113.531807|1|2018-05-22 23:38:47.393|7:40|0|2|2018-05-22 23:49:29.044
143|22.270828|113.531815|1|2018-05-22 23:39:03.354|7:40|0|2|2018-05-22 23:49:29.044
144|22.270844|113.531975|1|2018-05-22 23:39:19.454|7:40|0|2|2018-05-22 23:49:29.044
145|22.270992|113.532959|1|2018-05-22 23:39:35.516|7:40|0|2|2018-05-22 23:49:29.044
146|22.271162|113.53408799999998|1|2018-05-22 23:39:51.635|7:40|0|2|2018-05-22 23:49:29.044
147|22.271233|113.53459199999999|1|2018-05-22 23:40:07.678|7:40|0|2|2018-05-22 23:49:29.044
148|22.271233|113.53459199999999|1|2018-05-22 23:40:23.746|7:40|0|2|2018-05-22 23:49:29.044
149|22.271233|113.53459199999999|1|2018-05-22 23:40:39.989|7:40|0|2|2018-05-22 23:49:29.044
150|22.271235|113.53459199999999|1|2018-05-22 23:40:56.790|7:40|0|2|2018-05-22 23:49:29.044
151|22.271238|113.53460700000001|1|2018-05-22 23:41:12.850|7:40|0|2|2018-05-22 23:49:29.044
152|22.271416000000002|113.53563700000001|1|2018-05-22 23:41:30.166|7:40|0|2|2018-05-22 23:49:29.044
153|22.271622|113.53698700000001|1|2018-05-22 23:41:47.705|7:40|0|2|2018-05-22 23:49:29.044
154|22.271627|113.537148|1|2018-05-22 23:42:03.838|7:40|0|2|2018-05-22 23:49:29.044
155|22.271629|113.537155|1|2018-05-22 23:42:19.818|7:40|0|2|2018-05-22 23:49:29.044
156|22.271742|113.537613|1|2018-05-22 23:42:35.917|7:40|0|2|2018-05-22 23:49:29.044
157|22.271921|113.53878799999998|1|2018-05-22 23:42:51.979|7:40|0|2|2018-05-22 23:49:29.044
158|22.272152|113.54021499999999|1|2018-05-22 23:43:07.979|7:40|0|2|2018-05-22 23:49:29.044
159|22.272165|113.540443|1|2018-05-22 23:43:24.060|7:40|0|2|2018-05-22 23:49:29.044
160|22.272179|113.54045900000001|1|2018-05-22 23:43:40.118|7:40|0|2|2018-05-22 23:49:29.044
161|22.272289|113.54086299999999|1|2018-05-22 23:43:56.198|7:40|0|2|2018-05-22 23:49:29.044
162|22.272585|113.542679|1|2018-05-22 23:44:12.358|7:40|0|2|2018-05-22 23:49:29.044
163|22.273062|113.545189|1|2018-05-22 23:44:28.382|7:40|0|2|2018-05-22 23:49:29.044
164|22.273523|113.547569|1|2018-05-22 23:44:49.113|7:40|0|2|2018-05-22 23:49:29.044
165|22.273849|113.5494|1|2018-05-22 23:45:05.776|7:40|0|2|2018-05-22 23:49:29.044
